time,beacon_1,beacon_2,beacon_3,beacon_4,beacon_5
31.297,4.849298930726155,-1.0,4.660809102871537,-1.0,3.0128341225959385
33.346,5.422478720566841,-1.0,4.898398776754267,-1.0,4.752717918349379
35.396,4.716236296735837,-1.0,5.204042246185995,-1.0,5.7332831618483375
37.397,4.814146538388387,-1.0,6.659168728894071,-1.0,3.8511568367950932
39.447,4.994510732226636,-1.0,7.4648361910939975,-1.0,2.974830788714324
41.497,5.7519392964237905,-1.0,-1.0,-1.0,2.1141618045987913
43.547,6.067412082434815,-1.0,-1.0,-1.0,1.8127962652790157
45.597,6.059826186839136,-1.0,-1.0,-1.0,2.4111826358003023
47.646,6.47119663944556,-1.0,-1.0,-1.0,2.3734066924352395
49.647,4.748523945333087,-1.0,-1.0,7.864640161312591,4.263244318417439
51.697,4.970290805129246,-1.0,-1.0,6.8444297278873725,5.196803398743873
53.746,4.6398123979812755,-1.0,-1.0,6.293338619789724,5.7004330786074755
55.797,5.762839583211135,-1.0,-1.0,5.07740809540326,6.924414061457196
57.846,5.493594072226991,-1.0,-1.0,4.268831352954021,-1.0
59.897,6.430921947858004,-1.0,-1.0,2.724558443320602,-1.0
61.947,6.4083364077786396,-1.0,-1.0,2.41489534797681,-1.0
63.996,7.071154338871908,-1.0,-1.0,0.9225045715551301,-1.0
66.046,6.68803603951361,-1.0,-1.0,1.2654295466982601,-1.0
68.097,5.695854083902625,7.437383827700648,-1.0,2.27827562083574,-1.0
70.146,5.027526969375731,7.504894191715201,-1.0,3.759964249779472,-1.0
72.147,6.063770530921392,5.582547517174807,-1.0,4.22923580543433,-1.0
74.197,4.789798859963363,4.607940149406011,-1.0,5.942099601499436,-1.0
76.246,5.916885343026678,2.9892274572786226,-1.0,6.894984906291622,-1.0
78.296,5.221774569424149,1.3728588326419384,-1.0,7.61276618050028,-1.0
80.297,5.482498796178594,1.2060324296628913,-1.0,-1.0,-1.0
82.347,5.971538541134334,1.5290928338050258,-1.0,-1.0,-1.0
84.397,4.604715003056169,1.884272641446385,-1.0,-1.0,-1.0
86.446,5.153948871029931,3.075681953604704,-1.0,-1.0,-1.0
88.497,6.075534769353879,4.153190146987151,7.750905861408763,-1.0,-1.0
90.547,5.300528886360426,6.130667314305983,5.931138669285259,-1.0,-1.0
92.597,4.61878425950281,6.515688739570087,5.666291394852678,-1.0,-1.0
94.646,4.797563560946811,-1.0,4.465857495512572,-1.0,-1.0
96.647,6.379740973943994,7.94475420769327,3.6532726625224314,-1.0,-1.0
98.697,6.062677239946874,-1.0,2.8562554297990785,-1.0,-1.0
100.747,6.116250852812463,-1.0,1.3514580280971813,-1.0,-1.0
102.797,7.051149361940689,-1.0,1.8145427733170059,-1.0,-1.0
104.846,5.856226120050088,-1.0,2.708690583041644,-1.0,-1.0
106.847,5.196664034167774,-1.0,2.583297293402535,-1.0,7.2304381964941316
108.897,4.619647785598917,-1.0,4.368453323887898,-1.0,5.7797473406092505
110.946,6.037920648431188,-1.0,5.623011814675394,-1.0,4.9521361926198155
112.947,6.683498538596565,-1.0,5.53566140676398,-1.0,3.280195695288726
114.997,5.302117089333742,-1.0,6.896673596914055,-1.0,3.2695818972191466
117.046,5.583544101649655,-1.0,6.547773718681413,-1.0,3.2491159023487186
119.097,5.749482444668986,-1.0,7.215570026035798,-1.0,3.841202889596613
121.146,4.966860293823723,-1.0,7.087891813287026,-1.0,2.6722894225444804
