time,v,w
29.297,0.01501288808706704,0.0864027163029389
29.346,0.025882646730430864,-0.06652345557743168
29.396,0.029271684365474678,-0.058201326397961654
29.446,-0.0006444062043653997,0.043531156610424566
29.497,0.03609129434484678,-0.009254414207717051
29.546,0.0057249163092888775,-0.013381392567360484
29.597,0.021318901757498385,0.022776763004272015
29.646,0.01696384850328437,-0.013199699927760364
29.696,0.02065235162130173,0.0041973754590162
29.747,0.027428257080133717,0.0505070378040159
29.797,0.038508262391193294,-0.0025010499982704546
29.847,0.022810829164326696,-0.028520803271104338
29.896,0.008511472723311701,-0.0034519220441760054
29.946,0.03173933466518701,-0.032651342185458655
29.996,0.012284695755414082,-0.03796309807190346
30.046,0.02472679355611504,0.091227952194974
30.096,0.02679139690634949,-0.010964731974583228
30.146,0.016182015700632886,0.058826681953837334
30.196,0.024637619420101328,-0.022680738812749242
30.246,0.01758199679871904,-0.01708722217753144
30.296,0.03251877306939585,-0.03085247053083085
30.346,0.02668952073483096,0.015123175512290704
30.397,0.0226230276173336,-0.008192250014881837
30.446,0.03129573488433386,0.010783017270959634
30.496,0.029947624850752756,-0.10623457303597564
30.546,0.032872856174114486,0.013934148845863964
30.597,0.014221501071897076,-0.07495837830703535
30.646,0.035534884059199884,0.13259830988719729
30.697,0.029949217438334008,-0.015251209833603294
30.746,0.026309480514410257,-0.04756288932766298
30.797,0.011064547536500428,-0.0455043602927127
30.847,0.021545199705269236,-0.005035620880962193
30.896,0.009515887527929503,0.040955447533373844
30.946,0.0011911750667879042,0.03428188495694295
30.997,0.028499699586560685,-0.0018380061880173698
31.046,0.0321731171101184,-0.05454170273843112
31.097,0.034706668464358936,0.025705896570651688
31.146,0.02921004933643457,-0.030146761329636004
31.197,0.022394891841548557,0.06914077984091586
31.246,0.03265545236475021,-0.12129456958241211
31.297,0.008523815943618411,-0.026510212822732408
31.347,0.025433176145519938,0.055052095355700104
31.397,0.02404267691570788,0.03596059335366119
31.447,0.031782865861745,0.054121834302682734
31.496,0.027380215480101264,0.04857595258401468
31.546,0.027082516931318024,-0.03694186104053557
31.596,0.019891892030373053,0.05663614150460213
31.647,0.02558615644132011,0.05050222692210476
31.697,0.02090914561891166,-0.05208601446809673
31.747,0.02754354570161482,0.008526810866320645
31.797,0.02163768321532006,-0.012618246544923554
31.846,0.021013951000145394,-0.021357121460304395
31.897,0.019996286164057957,-0.005055541862413762
31.947,0.03112401531744348,0.0045742220151739725
31.997,0.023595978490111597,-0.02737573068375147
32.046,0.02559112183915485,-0.05628679432805362
32.097,0.036445756599252,0.005971256002171193
32.146,0.007326826331022881,-0.014994100802087393
32.197,0.02447911873961621,-0.12591870698818147
32.246,0.010969702455359378,0.10815651046009037
32.296,0.01272687206267545,-0.030353740684874224
32.346,0.020719353695548448,0.009392024415589523
32.396,0.010963375395556496,0.0050449454624927285
32.447,0.026827996421948636,0.05949242441526791
32.496,0.03189960624125352,0.05405199359536786
32.547,0.019266011895426594,-0.009331332976999231
32.596,0.012212569956785817,0.0890485281759836
32.646,0.03488940170122584,-0.02796154487782602
32.697,0.010085320071252317,0.023838486771820794
32.746,0.01644620517783066,-0.021874145057025035
32.796,0.014883723245525664,0.012753230851625452
32.846,-0.0018717211401462139,-0.02486818737973451
32.897,0.02080393265293609,0.08606088973096805
32.947,0.014350343968337674,0.00606389459712138
32.997,0.03565329766897568,0.04349954326506924
33.046,0.012954100190467846,0.060522506069156747
33.097,0.03249438498696086,0.008500942562200967
33.146,0.02284980612074509,0.041848192387839316
33.197,0.02078745016343588,0.018545733470699575
33.246,0.017997220870406144,-0.0006515222192630328
33.297,0.024938131898236737,-0.059089820405088124
33.346,0.035492597168976195,0.0022107948596378425
33.397,0.010259710283580059,0.06501294034505398
33.446,0.016457810793750027,0.0005752943379826085
