time,x,y
33.246,4.00001091577896,0.0006314930215916507
33.297,4.000010930464534,0.0006324460199522179
33.346,4.000010947681916,0.000633305817791364
33.397,4.000010965449084,0.0006344568536162769
33.446,4.000010980739564,0.000635312478930403
33.497,4.00001099955307,0.0006366048843476661
33.547,4.000011016096998,0.0006374163989739962
33.597,4.0000110339869925,0.0006385896275100155
33.646,4.000011048687875,0.0006395297803466204
33.696,4.000011068588201,0.0006407551050015142
33.746,4.000011083894585,0.0006415541696288187
33.797,4.0000110988829745,0.0006423996966532014
33.846,4.000011117562468,0.000643696429821883
33.897,4.0000111350021665,0.000644493840323856
33.946,4.0000110224246015,0.0009536536491411779
33.997,4.000010967758363,0.0018775671476942168
34.046,4.000010947992236,0.003416077624134962
34.096,4.000010972594601,0.005569194594757118
34.147,4.00001105528306,0.00833691338518794
34.197,4.000011213671782,0.011719237840269927
34.246,4.000011469044321,0.015716168059043686
34.297,4.000011846136417,0.02032771478216175
34.346,4.000012373500391,0.02555387391442906
34.396,4.000013083564248,0.031394654988136456
34.447,4.000014012417608,0.03785005504461001
34.496,4.000015200088643,0.04492008414693348
34.546,4.000016690012544,0.05260473759695289
34.596,4.000018529680847,0.060904021991419845
34.646,4.000020770215496,0.0698179298307382
34.696,4.0000234665908385,0.07934646394331017
34.747,4.000026677473956,0.08948961160171034
34.796,4.000030465387834,0.10024736966591558
34.846,4.000034896581876,0.1116197188596195
34.897,4.000040041034415,0.1236066492725656
34.946,4.000045972602062,0.1362081378468354
34.997,4.000052768778848,0.14942417119574317
35.046,4.00006059178583,0.16325541728753082
35.096,4.000069662009466,0.17769955605345572
35.146,4.000080783822068,0.19275367525568665
35.197,4.000095011860428,0.20842465283518288
35.246,4.000109765315611,0.2247103699934255
35.296,4.000126476698467,0.2416152143200052
35.346,4.000145113791101,0.2591346445552359
35.396,4.000165741003429,0.27726847443091096
35.446,4.000187534632391,0.29601090709275174
35.497,4.000211953995998,0.3153702417054574
35.546,4.000237198676817,0.33534729010499825
35.597,4.000263759278764,0.3559391155315148
35.646,4.0002917205082325,0.3771456810370906
35.697,4.000321173806966,0.3989669275988562
35.746,4.000352214366845,0.4214027641987945
35.797,4.000384941133406,0.44445309556743673
35.847,4.000419456495156,0.468117827392603
35.896,4.0004567379125255,0.49239574753092413
35.946,4.0004965192617306,0.5172548702246793
35.996,4.000545718390034,0.5422564869727687
36.046,4.00059475896831,0.5672581768532132
36.097,4.000643800772363,0.5922595901972767
36.146,4.00069311107958,0.6172590336473697
36.197,4.000742312752613,0.6422584835128684
36.247,4.000791536395088,0.6672599146987171
36.296,4.00084075472937,0.6922611251576527
36.346,4.000889972601025,0.7172628161627189
36.396,4.000939184914164,0.7422642570961201
36.446,4.000988400331184,0.7672658311191856
36.496,4.001037568744092,0.7922665026875062
36.546,4.001086651057047,0.8172648399102085
36.597,4.001135861020671,0.8422636101210876
36.646,4.001184870180255,0.8672643349113084
36.696,4.001233912378137,0.8922658411663328
36.746,4.001282765072419,0.9172660572425044
36.797,4.001332170946104,0.9422664896265661
36.846,4.001381429074206,0.9672673612941921
36.897,4.001430686848127,0.9922688615868882
36.946,4.001479940200928,1.0172701491903215
36.997,4.001529193909077,1.0422719225803068
37.046,4.00157844248439,1.067273247060813
37.097,4.001627691846993,1.0922746954666642
37.147,4.001676854253646,1.117274861634589
37.197,4.00172591342797,1.1422753090767994
37.246,4.001774792604782,1.1672765273205408
37.297,4.0018238841238745,1.19227802240941
37.347,4.001872831440791,1.2172790119113879
37.397,4.001922196802743,1.2422767639014978
37.446,4.001971491196138,1.2672772440105073
37.497,4.002020772906411,1.2922785665125471
37.546,4.002070049151071,1.317279870905143
37.597,4.002119329038578,1.3422816104820816
37.646,4.002168602214967,1.3672829225244254
37.697,4.002217876504568,1.3922844572442674
37.746,4.002267138012614,1.417285454851386
37.797,4.002316327304394,1.4422833927318963
37.846,4.002365001649285,1.4672828063727463
37.897,4.002414142122006,1.492284345882778
37.946,4.002463255488895,1.517285867739055
37.997,4.0025123824443725,1.5422861951369695
38.047,4.002561581989352,1.5672852553798733
38.097,4.00261088426883,1.5922849179083494
38.146,4.00266020356832,1.617286026479193
38.196,4.002709521776756,1.642287625304074
38.246,4.002758835229156,1.6672890087653307
38.296,4.0028081506067235,1.692290769022624
38.346,4.002857460376844,1.717291861581968
38.397,4.002906695830039,1.7422921598395698
38.446,4.0029561339373085,1.7672913402865198
38.496,4.003005004979603,1.792290066289859
38.546,4.003054174520022,1.8172916545037576
38.597,4.003103208558817,1.842291981703162
38.646,4.003152508080888,1.8672918954239404
38.697,4.003201913880352,1.8922926000312135
38.746,4.003251283956466,1.91729357805413
38.796,4.003300653843948,1.9422949252492028
38.846,4.003350020321607,1.967296488589557
38.897,4.003399384639187,1.9922978604244679
38.946,4.003448749122118,2.017299485577218
38.997,4.003498104341294,2.042300462600907
39.047,4.003547010312711,2.067300043839758
39.097,4.003596411315869,2.092299010182308
39.146,4.0036455216733975,2.117300156633153
39.197,4.003694737376699,2.1423017085614546
39.246,4.003743921430693,2.16730207373789
39.297,4.003793405912356,2.1923023196370335
39.346,4.003842819107946,2.2173032898723193
39.397,4.003892220960933,2.242304564935464
39.447,4.003941620583722,2.267305843764554
39.496,4.003991020855548,2.2923075932856958
39.546,4.004040415732729,2.317308929228593
39.596,4.004089811511655,2.342310456939866
39.646,4.004139148610859,2.3673107739710333
39.697,4.00418832642326,2.3923095417111457
39.746,4.0042377977598305,2.417310002789886
39.797,4.004287010060477,2.442311587784263
39.846,4.004336243450082,2.467313105413569
39.897,4.004385461460221,2.492311413802815
39.947,4.004434967583845,2.517311118200784
39.997,4.004484352898136,2.542312140098991
40.046,4.0045337366005915,2.567313268612409
40.096,4.004583118248263,2.592314944023755
40.146,4.004632495387469,2.617316376458698
40.197,4.004681875248918,2.6423180495715655
40.246,4.004731247830227,2.6673190627280423
40.297,4.004780532857738,2.6923195529258597
40.346,4.004829986607295,2.717318521740646
40.397,4.004879103333794,2.742319566395493
40.446,4.004928278149757,2.767321110172235
40.497,4.004977336304477,2.7923217783508014
40.546,4.005026850478984,2.8173203669839264
40.597,4.005076225342015,2.842321144792013
40.647,4.0051255863379955,2.8673221905667847
40.697,4.00517494961319,2.892323794245453
40.746,4.005224306430942,2.917325198070323
40.797,4.005273662173052,2.94232651631815
40.846,4.005323017535736,2.9673281040314268
40.897,4.005372349496634,2.992328866093271
40.946,4.005421594689771,3.017327299681409
40.997,4.005470839383322,3.0423268383130053
41.046,4.005520019566798,3.067328438478663
41.096,4.005569189164248,3.0923299671436837
41.146,4.0057860288444385,3.1173174984660488
41.197,4.006414699637065,3.1423446056751176
41.246,4.007387109419823,3.1674159417015284
41.297,4.008653009092403,3.1925268529836495
41.347,4.0101490814724645,3.2176867516896825
41.397,4.011814588713721,3.2429106250802615
41.446,4.013592838354991,3.2682060627052705
41.497,4.015409213195496,3.2935638611630926
41.547,4.017129850623946,3.318780460528645
41.597,4.0187935321387105,3.3440310664766457
41.646,4.02039277264242,3.369286581753215
41.696,4.021674758532561,3.3943508236574904
41.747,4.022088981556677,3.419582358856678
41.797,4.021587828691491,3.444750030756888
41.846,4.020156547877511,3.469789415768072
41.897,4.017779511424294,3.494737511243912
41.946,4.014455601259696,3.5196305555996004
41.997,4.010256526533958,3.5444651665198172
42.046,4.00537435517136,3.5691017155634244
42.097,3.999860272133565,3.593516435590329
42.146,3.9938117442244163,3.617780697463411
42.196,3.9872776269509598,3.6419032320101845
42.246,3.98042736489303,3.6659479695184234
42.297,3.973569396066025,3.68998951936647
42.346,3.966711377828621,3.7140298233463276
42.397,3.9598529583922257,3.7380718963618
42.446,3.9529944170532083,3.76211420482057
42.497,3.9463067147039275,3.7862045570857825
42.547,3.9400112140095174,3.8104235524969647
42.596,3.934015511762834,3.8347892114792304
42.646,3.928280136605064,3.859260094309828
42.697,3.9227245742194903,3.8837308693463317
42.746,3.917298502199104,3.9082600569344117
42.797,3.911971042658901,3.932869346223275
42.846,3.9066876269782957,3.957530442419403
42.896,3.9014124955930645,3.982294932592686
42.946,3.8960715895739395,4.007409917646695
42.997,3.8906375031275,4.032574404399298
43.046,3.885009488647847,4.057802748729094
